task_id,user_id,task_name,category,timestamp,duration_minutes,completed
92,1024,Dishes,chores,2025-05-25 09:06:00,49.1,Yes
93,1043,Tidy desk,Chores,2025-05-07 14:38:00,25.8,Yes
94,1024,Vacuuming,Chores,2025-07-10 06:33:00,27.9,Yes
95,1008,Pharmacy pickup,Errands,2025-03-10 20:10:00,11.8,Yes
96,1025,Journaling,,2025-06-24 11:22:00,19.0,Yes
97,1032,Car wash,Errands,2025-06-17 13:42:00,28.7,Yes
98,1037,Sprint planning notes,Work,2025-07-22 08:26:00,63.1,Yes
99,1049,Dishes,Chores,2025-04-12 07:11:00,8.2,Yes
100,1025,Email cleanup,Work,2025-03-12 16:11:00,12.6,Yes
101,1007,Email cleanup,Work,2025-05-06 14:35:00,22.6,Yes
102,1044,Laundry, Chores,2025-04-15 21:25:00,36.1,Yes
103,1023,Dishes,Chore,2025-06-06 19:12:00,34.8,Yes
104,1018,Pharmacy pickup,Errands,2025-06-01 08:20:00,13.6,Yes
105,1024,Tidy desk,,2025-06-04 10:04:00,11.6,Yes
106,1025,Pharmacy pickup,Errands,2025-03-17 13:21:00,,Yes
107,1001,Client report,Work,2025-06-16 13:13:00,756.0,Yes
108,1048,Budget spreadsheet, Work,2025-02-22 12:48:00,43.2,Yes
109,1035,Read chapter,Study,2025-01-28 13:47:00,57.4,Yes
110,1004,Team sync prep,Work,2025-04-14 14:57:00,36.6,Yes
111,1034,Team sync prep,WORK,2025-03-03 12:11:00,27.1,No
112,1017,Pharmacy pickup,Errands,2025-01-23 10:35:00,61.1,Yes
113,1037,Team sync prep,Work,2025-01-20 12:23:00,46.0,Yes
114,1005,Bank visit,Errands,2025-03-05 20:55:00,28.4,Yes
115,1036,Pharmacy pickup,errand,2025-01-29 21:15:00,73.0,No
116,1032,Car wash,Errands,2025-04-20 18:54:00,54.6,Yes
117,1027,Post office,Errands,2025-07-17 16:36:00,27.0,Yes
118,1035,Read chapter,Study,2025-02-25 20:17:00,38.3,Yes
119,1022,Budget spreadsheet,Work ,2025-07-13 22:39:00,35.5,Yes
120,1003,Flashcard review,Study,2025-02-11 09:10:00,72.6,Yes
121,1014,Essay draft,Study,2025-02-20 17:14:00,9.9,No
122,1017,Budget spreadsheet,Work,2025-06-30 21:50:00,63.1,Yes
123,1021,Stretching,Health,2025-03-15 17:06:00,9.6,Yes
124,1025,Call family,Personal,2025-02-18 21:42:00,23.0,Yes
125,1037,Meal prep,Health,2025-07-26 07:59:00,4.1,Yes
126,1049,Walk,Health,2025-03-12 17:25:00,75.7,Yes
127,1003,Meditation,Health,2025-03-11 06:06:00,30.5,Yes
128,1041,Workout,Health,2025-06-09 17:35:00,51.0,Yes
129,1035,Client report,Work,2025-03-28 09:30:00,62.1,Yes
130,1029,Pharmacy pickup,Errands,2025-05-13 15:03:00,24.2,Yes
131,1010,Vacuuming,Chores,2025-02-25 22:47:00,8.0,Yes
132,1017,Online course module,Study,2025-03-16 19:08:00,26.4,Yes
133,1038,Team sync prep,WORK,2025-05-21 11:50:00,7.1,Yes
134,1018,Workout,Health,2025-03-30 12:19:00,,Yes
135,1043,Call family,Personal,2025-07-09 06:47:00,7.9,No
136,1021,Grocery shopping,Chores,2025-02-02 13:41:00,19.5,Yes
137,1039,Vacuuming,Chores,2025-03-12 15:36:00,38.1,Yes
138,1038,Email cleanup,Work,2025-03-06 18:51:00,41.2,Yes
139,1011,Laundry,Chore,2025-05-28 10:41:00,4.0,Yes
140,1003,Flashcard review,Study,2025-04-09 22:31:00,,Yes
141,1020,Read chapter,Study,2025-05-03 08:13:00,31.1,Yes
142,1009,Vacuuming,Chores,2025-02-05 14:26:00,72.1,Yes
143,1004,Client report,Work,2025-06-04 10:25:00,3.5,Yes
144,1017,Team sync prep,Work,2025-02-04 08:58:00,20.7,Yes
145,1014,Sprint planning notes,Work,2025-04-20 16:50:00,62.5,Yes
146,1021,Team sync prep,work,2025-07-26 08:16:00,52.3,Yes
147,1034,Meal prep,Health,2025-04-21 11:22:00,7.4,Yes
148,1049,Essay draft,Study,2025-06-22 07:13:00,17.1,Yes
149,1034,Essay draft,Study,2025-05-13 21:31:00,24.1,Yes
150,1004,Bank visit,Errands,2025-05-26 10:56:00,542.4000000000001,Yes
151,1040,Email cleanup,Work,2025-04-09 14:52:00,30.3,Yes
152,1022,Tidy desk,Chores,2025-05-04 16:32:00,57.1,Yes
153,1020,Practice problems,Study,2025-04-12 08:26:00,55.1,Yes
154,1002,Budget spreadsheet,,2025-02-11 10:01:00,18.4,Yes
155,1002,Journaling,Personal,2025-05-02 08:46:00,19.1,No
156,1028,Grocery shopping,Chores,2025-06-05 22:15:00,21.0,Yes
157,1049,Read chapter,Study ,2025-01-05 18:05:00,26.2,Yes
158,1026,Car wash,Errands,2025-07-18 07:16:00,18.1,Yes
159,1004,Essay draft,Study,2025-07-15 20:39:00,10.0,Yes
160,1010,Budget spreadsheet,Work,2025-04-06 13:42:00,59.4,Yes
161,1040,Dishes,Chores,2025-03-28 15:56:00,49.5,Yes
162,1048,Client report,Work,2025-03-04 16:24:00,,Yes
163,1022,Flashcard review,Study,2025-04-06 08:48:00,22.8,Yes
164,1049,Stretching,Health,2025-02-20 08:58:00,81.1,Yes
165,1033,Essay draft,Study,2025-05-01 11:46:00,3.8,No
166,1000,Pharmacy pickup,Errands,2025-07-21 10:45:00,13.6,Yes
167,1019,Online course module,Study,2025-05-17 20:03:00,22.0,No
168,1005,Essay draft,Study,2025-05-31 15:40:00,20.7,Yes
169,1024,Post office,Errands ,2025-04-05 18:53:00,5.8,Yes
170,1047,Flashcard review,Study,2025-02-14 07:58:00,30.0,Yes
171,1003,Tidy desk,Chores,2025-02-12 18:54:00,7.9,Yes
172,1031,Grocery shopping,Chore,2025-03-10 22:14:00,15.9,Yes
173,1017,Budget review,personal,2025-04-14 19:33:00,50.6,Yes
174,1007,Budget spreadsheet,Work,2025-06-29 06:51:00,34.6,Yes
175,1049,Meal prep,Health,2025-03-02 20:53:00,32.2,No
176,1019,Email cleanup,Work,2025-01-08 21:01:00,8.8,Yes
177,1036,Flashcard review,Study,2025-04-28 08:18:00,53.0,Yes
178,1000,Sprint planning notes,Work,2025-01-19 13:27:00,182.4,No
179,1046,Walk,Health,2025-02-16 22:01:00,,Yes
180,1023,Read chapter,Study,2025-04-03 19:22:00,64.0,Yes
181,1010,Flashcard review,Study,2025-05-04 06:14:00,16.8,Yes
182,1034,Sprint planning notes,Work,2025-02-08 16:18:00,18.8,Yes
183,1039,Dishes,Chores,2025-05-21 18:03:00,9.8,Yes
184,1016,Dishes,Chores,2025-05-31 21:39:00,15.0,Yes
185,1044,Sprint planning notes,Work,2025-07-02 15:47:00,38.8,Yes
186,1008,Email cleanup,Work,2025-06-14 17:54:00,12.2,Yes
187,1023,Flashcard review,STUDY,2025-05-20 13:45:00,13.2,Yes
188,1008,Budget spreadsheet,Work,2025-02-12 20:07:00,37.9,Yes
189,1006,Practice problems,Study,2025-04-21 11:38:00,5.5,Yes
190,1013,Flashcard review,Study,2025-01-20 20:02:00,30.0,Yes
191,1009,Walk, health,2025-04-06 16:06:00,19.1,Yes
192,1037,Laundry, Chores,2025-07-24 14:50:00,50.4,Yes
193,1000,Budget spreadsheet,Work,2025-04-21 18:17:00,25.8,Yes
194,1043,Dishes,Chores,2025-03-02 06:41:00,24.9,Yes
195,1011,Flashcard review,Study,2025-06-28 17:31:00,46.4,Yes
196,1011,Team sync prep, Work,2025-04-15 09:48:00,13.5,Yes
197,1037,Essay draft, study,2025-02-27 08:36:00,36.1,Yes
198,1035,Email cleanup,,2025-04-15 10:49:00,71.9,Yes
199,1021,Walk,Health,2025-02-27 12:38:00,54.7,Yes
200,1037,Meditation,health,2025-06-02 14:20:00,,Yes
201,1018,Practice problems,Study,2025-07-10 22:51:00,19.3,Yes
202,1030,Post office,Errands,2025-04-01 09:40:00,5.3,Yes
203,1018,Call family,Personal,2025-04-20 16:17:00,18.2,No
204,1006,Bank visit,Errands,2025-02-19 12:02:00,42.6,Yes
205,1014,Email cleanup,Work ,2025-05-08 07:28:00,,Yes
206,1023,Car wash,Errands,2025-06-12 07:19:00,84.7,Yes
207,1025,Client report,WORK,2025-05-04 07:07:00,45.5,Yes
208,1028,Bank visit,Errands ,2025-06-28 18:42:00,36.7,Yes
209,1033,Stretching,Health,2025-07-28 19:35:00,34.4,Yes
210,1046,Grocery shopping,Chores,2025-05-30 11:23:00,28.8,Yes
211,1038,Budget spreadsheet,Work,2025-01-30 14:23:00,43.4,Yes
212,1013,Pharmacy pickup,Errands,2025-03-29 22:49:00,54.3,Yes
213,1036,Client report,Work,2025-04-19 12:17:00,17.3,Yes
214,1045,Laundry,Chores,2025-02-21 08:07:00,,Yes
215,1007,Vacuuming,Chores,2025-04-22 20:09:00,3.9,Yes
216,1014,Essay draft,Study,2025-06-28 21:15:00,6.6,No
217,1025,Online course module,study,2025-02-16 16:06:00,23.9,Yes
218,1010,Online course module,Study,2025-06-30 11:15:00,76.4,Yes
219,1021,Grocery shopping,Chore,2025-05-02 18:34:00,59.1,Yes
220,1010,Car wash,Errands,2025-02-15 16:42:00,233.6,Yes
221,1037,Budget spreadsheet,Work,2025-02-18 15:19:00,57.3,Yes
222,1033,Meditation,Health,2025-07-22 10:14:00,33.5,Yes
223,1031,Meditation,Health,2025-02-10 21:37:00,60.0,Yes
224,1024,Budget review,personal,2025-07-13 17:04:00,66.8,Yes
225,1029,Team sync prep, Work,2025-04-05 21:44:00,68.4,Yes
226,1013,Read for fun,Personal,2025-05-18 08:07:00,34.7,Yes
227,1033,Flashcard review,Study,2025-05-18 06:44:00,14.5,Yes
228,1047,Team sync prep,Work,2025-01-10 20:03:00,54.0,Yes
229,1008,Essay draft,Study,2025-07-08 21:11:00,22.0,No
230,1033,Practice problems,STUDY,2025-07-15 08:23:00,63.9,Yes
231,1048,Budget review,Personal,2025-06-24 13:44:00,11.5,Yes
232,1044,Online course module,Study,2025-03-30 16:48:00,62.1,Yes
233,1037,Code review,Work,2025-01-24 19:21:00,17.9,Yes
234,1007,Code review,Work,2025-04-05 14:51:00,5.2,Yes
235,1035,Car wash,Errands ,2025-04-25 13:16:00,46.2,Yes
236,1005,Dishes,Chores,2025-06-11 13:31:00,37.2,Yes
237,1008,Pharmacy pickup,errand,2025-06-19 11:25:00,20.8,Yes
238,1011,Bank visit,Errands,2025-02-28 20:46:00,48.8,Yes
239,1000,Laundry,Chores,2025-02-01 11:53:00,80.3,Yes
240,1026,Essay draft,Study,2025-04-05 21:22:00,56.6,Yes
241,1021,Tidy desk,Chores,2025-01-11 11:19:00,36.1,Yes
242,1011,Grocery shopping,Chore,2025-02-21 09:18:00,58.5,Yes
243,1020,Meal prep,Health,2025-01-20 13:43:00,7.4,Yes
244,1014,Tidy desk,Chores,2025-02-17 07:39:00,30.7,Yes
245,1017,Client report,Work,2025-07-07 19:48:00,48.2,No
246,1001,Flashcard review,STUDY,2025-02-17 18:00:00,30.8,Yes
247,1041,Walk, health,2025-07-24 22:32:00,35.6,Yes
248,1005,Sprint planning notes,Work,2025-06-25 07:39:00,86.0,Yes
249,1025,Stretching,Health,2025-04-16 14:31:00,41.5,Yes
250,1045,Vacuuming, Chores,2025-02-13 17:28:00,14.2,Yes
251,1000,Client report,Work,2025-06-08 21:56:00,59.9,Yes
252,1003,Pharmacy pickup,Errands,2025-07-17 11:30:00,,Yes
253,1018,Dishes,Chores,2025-04-30 07:53:00,8.9,Yes
254,1034,Read for fun,Personal,2025-03-07 09:05:00,24.4,Yes
255,1004,Meditation,Health,2025-03-03 14:36:00,25.6,Yes
256,1043,Budget spreadsheet,Work,2025-03-17 17:16:00,34.7,Yes
257,1019,Meditation,Health,2025-03-25 18:15:00,,Yes
258,1044,Call family,Personal,2025-01-28 18:07:00,65.9,Yes
259,1005,Pharmacy pickup,Errands,2025-07-09 17:27:00,2.6,Yes
260,1005,Sprint planning notes,Work,2025-01-24 10:16:00,52.2,Yes
261,1032,Sprint planning notes,Work,2025-02-09 16:22:00,14.9,No
262,1020,Dishes,Chores,2025-03-09 21:57:00,144.6,No
263,1032,Journaling,Personal,2025-01-22 21:00:00,40.1,Yes
264,1021,Pharmacy pickup,Errands,2025-07-22 09:27:00,18.4,Yes
265,1032,Meal prep,Health,2025-03-13 12:41:00,34.1,Yes
266,1036,Team sync prep,Work,2025-03-22 09:08:00,12.2,Yes
267,1047,Code review,Work,2025-04-24 10:38:00,10.8,Yes
268,1005,Stretching,Health,2025-03-17 12:22:00,36.4,Yes
269,1021,Practice problems,Study,2025-05-11 08:01:00,91.5,Yes
270,1006,Call family,Personal,2025-01-08 07:15:00,14.5,Yes
271,1004,Pharmacy pickup,Errands,2025-05-16 09:15:00,34.5,No
272,1002,Sprint planning notes,Work,2025-06-04 17:37:00,2.6,Yes
273,1038,Team sync prep,Work,2025-02-02 07:09:00,1.6,Yes
274,1015,Meditation,Health,2025-03-07 14:34:00,96.6,Yes
275,1002,Call family,Personal,2025-03-02 12:40:00,,Yes
276,1049,Flashcard review,Study,2025-04-05 11:35:00,32.7,No
277,1019,Sprint planning notes,Work,2025-05-25 11:59:00,112.3,Yes
278,1000,Dishes,Chores,2025-03-03 11:16:00,12.7,Yes
279,1026,Walk,Health,2025-06-27 21:47:00,21.2,Yes
280,1044,Email cleanup,Work,2025-03-01 11:25:00,,Yes
281,1024,Sprint planning notes,Work,2025-06-24 21:26:00,,Yes
282,1002,Team sync prep,Work,2025-06-10 16:38:00,42.4,Yes
283,1031,Stretching,Health,2025-01-03 13:59:00,93.2,Yes
284,1032,Sprint planning notes,Work,2025-06-04 13:08:00,71.3,No
285,1035,Read for fun,Personal,2025-04-06 20:42:00,18.9,Yes
286,1042,Sprint planning notes,Work,2025-02-11 20:11:00,4.2,Yes
287,1017,Budget spreadsheet,Work,2025-03-27 11:55:00,25.2,Yes
288,1030,Client report,Work,2025-03-28 13:39:00,9.9,No
289,1035,Pharmacy pickup,Errands,2025-07-29 15:46:00,44.7,Yes
290,1004,Online course module, study,2025-01-10 13:43:00,11.1,Yes
291,1031,Essay draft,Study,2025-03-30 07:48:00,95.4,Yes
292,1006,Post office,Errands,2025-05-31 11:43:00,39.2,Yes
293,1037,Car wash,Errands,2025-05-29 06:34:00,54.6,Yes
294,1021,Online course module,Study,2025-04-20 15:19:00,16.0,Yes
295,1010,Email cleanup,,2025-01-28 08:29:00,33.7,Yes
296,1023,Read for fun,Personal,2025-06-16 08:25:00,11.4,Yes
297,1008,Client report,Work,2025-03-17 10:23:00,65.1,No
298,1028,Online course module, study,2025-02-18 17:20:00,601.0,Yes
299,1040,Team sync prep,Work,2025-05-19 22:48:00,20.5,No
300,1010,Dishes,Chores,2025-04-20 12:58:00,22.6,Yes
301,1021,Online course module,Study,2025-01-19 09:36:00,28.6,Yes
302,1018,Budget spreadsheet, Work,2025-06-08 18:31:00,22.8,No
303,1017,Walk,Health,2025-04-25 12:50:00,15.1,Yes
304,1006,Post office,Errands,2025-04-12 20:16:00,64.9,Yes
305,1047,Flashcard review,STUDY,2025-06-02 21:45:00,30.5,Yes
306,1039,Vacuuming,Chores,2025-06-17 16:06:00,17.3,Yes
307,1023,Call family,Personal,2025-05-08 15:48:00,9.2,No
308,1042,Vacuuming,Chores,2025-06-09 19:35:00,,Yes
309,1008,Sprint planning notes,Work,2025-06-30 08:08:00,64.8,Yes
310,1032,Essay draft,,2025-04-21 11:54:00,51.7,Yes
311,1018,Flashcard review,STUDY,2025-01-10 15:23:00,21.0,Yes
312,1027,Meditation,Health,2025-04-14 11:28:00,,Yes
313,1008,Online course module,STUDY,2025-01-19 12:44:00,62.7,Yes
314,1019,Email cleanup, Work,2025-04-21 10:59:00,26.0,Yes
315,1024,Budget spreadsheet,Work,2025-05-18 17:47:00,,Yes
316,1020,Car wash,Errands,2025-04-01 11:23:00,736.0,Yes
317,1034,Sprint planning notes,Work,2025-03-22 18:03:00,,Yes
318,1042,Budget review,Personal,2025-02-19 12:27:00,8.2,No
319,1035,Budget review,Personal ,2025-02-24 21:17:00,14.7,Yes
320,1029,Client report,Work,2025-05-08 15:29:00,21.1,Yes
321,1010,Sprint planning notes,Work,2025-02-15 14:57:00,80.8,Yes
322,1033,Code review,work,2025-05-23 18:31:00,25.2,Yes
323,1004,Practice problems,Study,2025-01-19 20:00:00,66.3,Yes
324,1047,Workout,Health,2025-05-29 18:10:00,27.4,No
325,1017,Read chapter,Study,2025-05-30 06:20:00,25.6,Yes
326,1031,Dishes,chores,2025-03-15 21:09:00,11.1,Yes
327,1007,Client report,Work,2025-06-12 21:07:00,25.7,Yes
328,1004,Essay draft,Study,2025-03-27 14:15:00,16.3,Yes
329,1044,Flashcard review,STUDY,2025-04-16 10:34:00,85.5,Yes
330,1012,Tidy desk,Chores,2025-05-30 18:13:00,35.0,Yes
331,1033,Post office,Errands,2025-04-22 15:06:00,15.0,Yes
332,1024,Laundry,Chores,2025-03-31 09:20:00,35.2,Yes
333,1009,Online course module,Study,2025-02-05 15:53:00,,Yes
334,1022,Dishes, Chores,2025-03-11 14:32:00,544.0,Yes
335,1003,Journaling,Personal ,2025-03-18 17:21:00,,Yes
336,1021,Laundry,Chores,2025-05-03 17:28:00,2.0,Yes
337,1020,Walk,Health ,2025-01-29 10:44:00,28.7,Yes
338,1007,Workout,health,2025-07-22 08:50:00,29.6,Yes
339,1029,Team sync prep,,2025-02-07 13:33:00,59.4,Yes
340,1032,Team sync prep,work,2025-01-23 18:59:00,1.3,Yes
341,1016,Pharmacy pickup,Errands,2025-02-18 18:43:00,51.0,Yes
342,1014,Sprint planning notes,Work,2025-06-02 20:58:00,11.3,Yes
343,1018,Walk,Health,2025-03-05 22:52:00,12.8,Yes
344,1034,Stretching,Health,2025-02-09 17:09:00,27.5,Yes
345,1011,Vacuuming,Chores,2025-05-30 17:45:00,50.7,Yes
346,1046,Code review,Work,2025-07-12 18:21:00,47.9,Yes
347,1009,Meditation,Health,2025-01-17 09:16:00,38.6,Yes
348,1003,Practice problems,study,2025-07-19 09:51:00,21.8,Yes
349,1042,Email cleanup,Work,2025-02-22 06:16:00,41.3,Yes
350,1016,Pharmacy pickup,Errands,2025-03-26 07:15:00,33.6,Yes
351,1024,Meal prep,health,2025-04-20 07:56:00,,Yes
352,1034,Email cleanup,Work,2025-06-08 21:42:00,48.7,Yes
353,1038,Meal prep,Health,2025-05-21 06:17:00,29.1,Yes
354,1039,Laundry,Chores,2025-05-14 17:12:00,37.8,No
355,1047,Post office,,2025-03-26 22:08:00,55.5,Yes
356,1045,Team sync prep,Work ,2025-07-15 10:30:00,21.7,Yes
357,1021,Sprint planning notes,WORK,2025-02-02 09:05:00,,Yes
358,1044,Team sync prep,Work,2025-01-04 15:34:00,40.6,Yes
359,1036,Client report,Work,2025-03-09 17:31:00,37.0,Yes
360,1033,Laundry,Chores,2025-04-30 20:37:00,39.8,Yes
361,1025,Grocery shopping,Chores,2025-03-22 06:34:00,43.7,Yes
362,1040,Dishes, Chores,2025-06-28 17:52:00,12.6,Yes
363,1039,Laundry,Chores,2025-06-04 17:11:00,30.0,Yes
364,1047,Flashcard review,Study,2025-01-10 17:20:00,30.3,Yes
365,1015,Dishes,Chores,2025-07-02 17:01:00,13.0,Yes
366,1012,Read chapter,,2025-02-27 15:43:00,72.2,Yes
367,1034,Budget spreadsheet,Work,2025-03-08 14:32:00,12.5,Yes
368,1000,Bank visit,Errands,2025-06-08 20:50:00,23.9,Yes
369,1010,Team sync prep,Work,2025-07-13 17:39:00,59.9,Yes
370,1041,Essay draft,Study,2025-02-26 13:44:00,59.5,Yes
371,1012,Flashcard review,Study,2025-01-20 21:17:00,60.5,Yes
372,1009,Online course module,Study ,2025-07-08 21:03:00,67.4,Yes
373,1005,Walk,Health,2025-05-30 08:47:00,33.1,No
374,1014,Workout,Health,2025-02-25 10:12:00,32.5,Yes
375,1019,Sprint planning notes, Work,2025-04-18 19:20:00,7.9,Yes
376,1007,Code review,Work,2025-05-04 11:04:00,,Yes
377,1004,Post office,Errands,2025-01-06 09:08:00,43.5,Yes
378,1045,Bank visit,Errands,2025-01-23 11:42:00,57.1,Yes
379,1003,Workout,Health,2025-01-06 13:11:00,67.5,Yes
380,1031,Laundry,Chores,2025-01-07 14:28:00,5.3,Yes
381,1033,Dishes,Chores,2025-06-05 10:49:00,6.0,Yes
382,1022,Vacuuming,,2025-06-12 21:55:00,17.3,Yes
383,1004,Code review,Work,2025-05-17 06:55:00,82.3,Yes
384,1005,Client report,Work,2025-06-01 16:03:00,19.7,Yes
385,1003,Read for fun,personal,2025-04-29 13:48:00,19.8,Yes
386,1027,Essay draft,Study,2025-02-19 09:17:00,46.1,Yes
387,1043,Meditation,Health,2025-02-25 19:50:00,39.7,Yes
388,1003,Stretching,Health,2025-06-29 06:38:00,43.2,Yes
389,1038,Bank visit,Errands ,2025-06-28 09:11:00,,Yes
390,1009,Online course module, study,2025-06-24 07:36:00,,No
391,1026,Budget spreadsheet,Work,2025-07-05 22:06:00,17.2,Yes
392,1002,Flashcard review,Study,2025-06-26 07:28:00,35.4,No
393,1012,Bank visit,Errands,2025-02-01 12:57:00,38.9,Yes
394,1022,Sprint planning notes,Work,2025-07-21 15:08:00,101.5,No
395,1030,Online course module,,2025-05-07 16:28:00,23.8,No
396,1006,Read chapter,Study,2025-07-01 15:58:00,41.1,Yes
397,1038,Read chapter,Study,2025-05-15 07:37:00,54.9,Yes
