task_id,user_id,task_name,category,timestamp,duration_minutes,completed,day_of_week,hour
115,1036,Pharmacy pickup,Errand,2025-01-29 21:15:00,73.0,No,Wednesday,21
116,1032,Car wash,Errands,2025-04-20 18:54:00,54.6,Yes,Sunday,18
117,1027,Post office,Errands,2025-07-17 16:36:00,27.0,Yes,Thursday,16
118,1035,Read chapter,Study,2025-02-25 20:17:00,38.3,Yes,Tuesday,20
119,1022,Budget spreadsheet,Work,2025-07-13 22:39:00,35.5,Yes,Sunday,22
120,1003,Flashcard review,Study,2025-02-11 09:10:00,72.6,Yes,Tuesday,9
121,1014,Essay draft,Study,2025-02-20 17:14:00,9.9,No,Thursday,17
122,1017,Budget spreadsheet,Work,2025-06-30 21:50:00,63.1,Yes,Monday,21
123,1021,Stretching,Health,2025-03-15 17:06:00,9.6,Yes,Saturday,17
124,1025,Call family,Personal,2025-02-18 21:42:00,23.0,Yes,Tuesday,21
125,1037,Meal prep,Health,2025-07-26 07:59:00,4.1,Yes,Saturday,7
126,1049,Walk,Health,2025-03-12 17:25:00,75.7,Yes,Wednesday,17
127,1003,Meditation,Health,2025-03-11 06:06:00,30.5,Yes,Tuesday,6
128,1041,Workout,Health,2025-06-09 17:35:00,51.0,Yes,Monday,17
129,1035,Client report,Work,2025-03-28 09:30:00,62.1,Yes,Friday,9
130,1029,Pharmacy pickup,Errands,2025-05-13 15:03:00,24.2,Yes,Tuesday,15
131,1010,Vacuuming,Chores,2025-02-25 22:47:00,8.0,Yes,Tuesday,22
132,1017,Online course module,Study,2025-03-16 19:08:00,26.4,Yes,Sunday,19
133,1038,Team sync prep,Work,2025-05-21 11:50:00,7.1,Yes,Wednesday,11
134,1018,Workout,Health,2025-03-30 12:19:00,28.4,Yes,Sunday,12
135,1043,Call family,Personal,2025-07-09 06:47:00,7.9,No,Wednesday,6
136,1021,Grocery shopping,Chores,2025-02-02 13:41:00,19.5,Yes,Sunday,13
137,1039,Vacuuming,Chores,2025-03-12 15:36:00,38.1,Yes,Wednesday,15
138,1038,Email cleanup,Work,2025-03-06 18:51:00,41.2,Yes,Thursday,18
139,1011,Laundry,Chore,2025-05-28 10:41:00,4.0,Yes,Wednesday,10
140,1003,Flashcard review,Study,2025-04-09 22:31:00,29.6,Yes,Wednesday,22
141,1020,Read chapter,Study,2025-05-03 08:13:00,31.1,Yes,Saturday,8
142,1009,Vacuuming,Chores,2025-02-05 14:26:00,72.1,Yes,Wednesday,14
143,1004,Client report,Work,2025-06-04 10:25:00,3.5,Yes,Wednesday,10
144,1017,Team sync prep,Work,2025-02-04 08:58:00,20.7,Yes,Tuesday,8
145,1014,Sprint planning notes,Work,2025-04-20 16:50:00,62.5,Yes,Sunday,16
146,1021,Team sync prep,Work,2025-07-26 08:16:00,52.3,Yes,Saturday,8
147,1034,Meal prep,Health,2025-04-21 11:22:00,7.4,Yes,Monday,11
148,1049,Essay draft,Study,2025-06-22 07:13:00,17.1,Yes,Sunday,7
149,1034,Essay draft,Study,2025-05-13 21:31:00,24.1,Yes,Tuesday,21
151,1040,Email cleanup,Work,2025-04-09 14:52:00,30.3,Yes,Wednesday,14
152,1022,Tidy desk,Chores,2025-05-04 16:32:00,57.1,Yes,Sunday,16
153,1020,Practice problems,Study,2025-04-12 08:26:00,55.1,Yes,Saturday,8
154,1002,Budget spreadsheet,Uncategorized,2025-02-11 10:01:00,18.4,Yes,Tuesday,10
155,1002,Journaling,Personal,2025-05-02 08:46:00,19.1,No,Friday,8
156,1028,Grocery shopping,Chores,2025-06-05 22:15:00,21.0,Yes,Thursday,22
157,1049,Read chapter,Study,2025-01-05 18:05:00,26.2,Yes,Sunday,18
158,1026,Car wash,Errands,2025-07-18 07:16:00,18.1,Yes,Friday,7
159,1004,Essay draft,Study,2025-07-15 20:39:00,10.0,Yes,Tuesday,20
160,1010,Budget spreadsheet,Work,2025-04-06 13:42:00,59.4,Yes,Sunday,13
161,1040,Dishes,Chores,2025-03-28 15:56:00,49.5,Yes,Friday,15
162,1048,Client report,Work,2025-03-04 16:24:00,29.05,Yes,Tuesday,16
163,1022,Flashcard review,Study,2025-04-06 08:48:00,22.8,Yes,Sunday,8
164,1049,Stretching,Health,2025-02-20 08:58:00,81.1,Yes,Thursday,8
165,1033,Essay draft,Study,2025-05-01 11:46:00,3.8,No,Thursday,11
166,1000,Pharmacy pickup,Errands,2025-07-21 10:45:00,13.6,Yes,Monday,10
167,1019,Online course module,Study,2025-05-17 20:03:00,22.0,No,Saturday,20
168,1005,Essay draft,Study,2025-05-31 15:40:00,20.7,Yes,Saturday,15
169,1024,Post office,Errands,2025-04-05 18:53:00,5.8,Yes,Saturday,18
170,1047,Flashcard review,Study,2025-02-14 07:58:00,30.0,Yes,Friday,7
171,1003,Tidy desk,Chores,2025-02-12 18:54:00,7.9,Yes,Wednesday,18
172,1031,Grocery shopping,Chore,2025-03-10 22:14:00,15.9,Yes,Monday,22
173,1017,Budget review,Personal,2025-04-14 19:33:00,50.6,Yes,Monday,19
174,1007,Budget spreadsheet,Work,2025-06-29 06:51:00,34.6,Yes,Sunday,6
175,1049,Meal prep,Health,2025-03-02 20:53:00,32.2,No,Sunday,20
176,1019,Email cleanup,Work,2025-01-08 21:01:00,8.8,Yes,Wednesday,21
177,1036,Flashcard review,Study,2025-04-28 08:18:00,53.0,Yes,Monday,8
179,1046,Walk,Health,2025-02-16 22:01:00,28.4,Yes,Sunday,22
180,1023,Read chapter,Study,2025-04-03 19:22:00,64.0,Yes,Thursday,19
181,1010,Flashcard review,Study,2025-05-04 06:14:00,16.8,Yes,Sunday,6
182,1034,Sprint planning notes,Work,2025-02-08 16:18:00,18.8,Yes,Saturday,16
183,1039,Dishes,Chores,2025-05-21 18:03:00,9.8,Yes,Wednesday,18
184,1016,Dishes,Chores,2025-05-31 21:39:00,15.0,Yes,Saturday,21
185,1044,Sprint planning notes,Work,2025-07-02 15:47:00,38.8,Yes,Wednesday,15
186,1008,Email cleanup,Work,2025-06-14 17:54:00,12.2,Yes,Saturday,17
187,1023,Flashcard review,Study,2025-05-20 13:45:00,13.2,Yes,Tuesday,13
188,1008,Budget spreadsheet,Work,2025-02-12 20:07:00,37.9,Yes,Wednesday,20
189,1006,Practice problems,Study,2025-04-21 11:38:00,5.5,Yes,Monday,11
190,1013,Flashcard review,Study,2025-01-20 20:02:00,30.0,Yes,Monday,20
191,1009,Walk,Health,2025-04-06 16:06:00,19.1,Yes,Sunday,16
192,1037,Laundry,Chores,2025-07-24 14:50:00,50.4,Yes,Thursday,14
193,1000,Budget spreadsheet,Work,2025-04-21 18:17:00,25.8,Yes,Monday,18
194,1043,Dishes,Chores,2025-03-02 06:41:00,24.9,Yes,Sunday,6
195,1011,Flashcard review,Study,2025-06-28 17:31:00,46.4,Yes,Saturday,17
196,1011,Team sync prep,Work,2025-04-15 09:48:00,13.5,Yes,Tuesday,9
197,1037,Essay draft,Study,2025-02-27 08:36:00,36.1,Yes,Thursday,8
198,1035,Email cleanup,Uncategorized,2025-04-15 10:49:00,71.9,Yes,Tuesday,10
199,1021,Walk,Health,2025-02-27 12:38:00,54.7,Yes,Thursday,12
200,1037,Meditation,Health,2025-06-02 14:20:00,28.4,Yes,Monday,14
201,1018,Practice problems,Study,2025-07-10 22:51:00,19.3,Yes,Thursday,22
202,1030,Post office,Errands,2025-04-01 09:40:00,5.3,Yes,Tuesday,9
203,1018,Call family,Personal,2025-04-20 16:17:00,18.2,No,Sunday,16
204,1006,Bank visit,Errands,2025-02-19 12:02:00,42.6,Yes,Wednesday,12
205,1014,Email cleanup,Work,2025-05-08 07:28:00,29.05,Yes,Thursday,7
206,1023,Car wash,Errands,2025-06-12 07:19:00,84.7,Yes,Thursday,7
207,1025,Client report,Work,2025-05-04 07:07:00,45.5,Yes,Sunday,7
208,1028,Bank visit,Errands,2025-06-28 18:42:00,36.7,Yes,Saturday,18
209,1033,Stretching,Health,2025-07-28 19:35:00,34.4,Yes,Monday,19
210,1046,Grocery shopping,Chores,2025-05-30 11:23:00,28.8,Yes,Friday,11
211,1038,Budget spreadsheet,Work,2025-01-30 14:23:00,43.4,Yes,Thursday,14
212,1013,Pharmacy pickup,Errands,2025-03-29 22:49:00,54.3,Yes,Saturday,22
213,1036,Client report,Work,2025-04-19 12:17:00,17.3,Yes,Saturday,12
214,1045,Laundry,Chores,2025-02-21 08:07:00,29.8,Yes,Friday,8
215,1007,Vacuuming,Chores,2025-04-22 20:09:00,3.9,Yes,Tuesday,20
216,1014,Essay draft,Study,2025-06-28 21:15:00,6.6,No,Saturday,21
217,1025,Online course module,Study,2025-02-16 16:06:00,23.9,Yes,Sunday,16
218,1010,Online course module,Study,2025-06-30 11:15:00,76.4,Yes,Monday,11
219,1021,Grocery shopping,Chore,2025-05-02 18:34:00,59.1,Yes,Friday,18
221,1037,Budget spreadsheet,Work,2025-02-18 15:19:00,57.3,Yes,Tuesday,15
222,1033,Meditation,Health,2025-07-22 10:14:00,33.5,Yes,Tuesday,10
223,1031,Meditation,Health,2025-02-10 21:37:00,60.0,Yes,Monday,21
224,1024,Budget review,Personal,2025-07-13 17:04:00,66.8,Yes,Sunday,17
225,1029,Team sync prep,Work,2025-04-05 21:44:00,68.4,Yes,Saturday,21
226,1013,Read for fun,Personal,2025-05-18 08:07:00,34.7,Yes,Sunday,8
227,1033,Flashcard review,Study,2025-05-18 06:44:00,14.5,Yes,Sunday,6
228,1047,Team sync prep,Work,2025-01-10 20:03:00,54.0,Yes,Friday,20
229,1008,Essay draft,Study,2025-07-08 21:11:00,22.0,No,Tuesday,21
230,1033,Practice problems,Study,2025-07-15 08:23:00,63.9,Yes,Tuesday,8
231,1048,Budget review,Personal,2025-06-24 13:44:00,11.5,Yes,Tuesday,13
232,1044,Online course module,Study,2025-03-30 16:48:00,62.1,Yes,Sunday,16
233,1037,Code review,Work,2025-01-24 19:21:00,17.9,Yes,Friday,19
234,1007,Code review,Work,2025-04-05 14:51:00,5.2,Yes,Saturday,14
235,1035,Car wash,Errands,2025-04-25 13:16:00,46.2,Yes,Friday,13
236,1005,Dishes,Chores,2025-06-11 13:31:00,37.2,Yes,Wednesday,13
237,1008,Pharmacy pickup,Errand,2025-06-19 11:25:00,20.8,Yes,Thursday,11
238,1011,Bank visit,Errands,2025-02-28 20:46:00,48.8,Yes,Friday,20
239,1000,Laundry,Chores,2025-02-01 11:53:00,80.3,Yes,Saturday,11
240,1026,Essay draft,Study,2025-04-05 21:22:00,56.6,Yes,Saturday,21
241,1021,Tidy desk,Chores,2025-01-11 11:19:00,36.1,Yes,Saturday,11
242,1011,Grocery shopping,Chore,2025-02-21 09:18:00,58.5,Yes,Friday,9
243,1020,Meal prep,Health,2025-01-20 13:43:00,7.4,Yes,Monday,13
244,1014,Tidy desk,Chores,2025-02-17 07:39:00,30.7,Yes,Monday,7
245,1017,Client report,Work,2025-07-07 19:48:00,48.2,No,Monday,19
246,1001,Flashcard review,Study,2025-02-17 18:00:00,30.8,Yes,Monday,18
247,1041,Walk,Health,2025-07-24 22:32:00,35.6,Yes,Thursday,22
248,1005,Sprint planning notes,Work,2025-06-25 07:39:00,86.0,Yes,Wednesday,7
249,1025,Stretching,Health,2025-04-16 14:31:00,41.5,Yes,Wednesday,14
250,1045,Vacuuming,Chores,2025-02-13 17:28:00,14.2,Yes,Thursday,17
251,1000,Client report,Work,2025-06-08 21:56:00,59.9,Yes,Sunday,21
252,1003,Pharmacy pickup,Errands,2025-07-17 11:30:00,30.9,Yes,Thursday,11
253,1018,Dishes,Chores,2025-04-30 07:53:00,8.9,Yes,Wednesday,7
254,1034,Read for fun,Personal,2025-03-07 09:05:00,24.4,Yes,Friday,9
255,1004,Meditation,Health,2025-03-03 14:36:00,25.6,Yes,Monday,14
256,1043,Budget spreadsheet,Work,2025-03-17 17:16:00,34.7,Yes,Monday,17
257,1019,Meditation,Health,2025-03-25 18:15:00,28.4,Yes,Tuesday,18
258,1044,Call family,Personal,2025-01-28 18:07:00,65.9,Yes,Tuesday,18
259,1005,Pharmacy pickup,Errands,2025-07-09 17:27:00,2.6,Yes,Wednesday,17
260,1005,Sprint planning notes,Work,2025-01-24 10:16:00,52.2,Yes,Friday,10
261,1032,Sprint planning notes,Work,2025-02-09 16:22:00,14.9,No,Sunday,16
263,1032,Journaling,Personal,2025-01-22 21:00:00,40.1,Yes,Wednesday,21
264,1021,Pharmacy pickup,Errands,2025-07-22 09:27:00,18.4,Yes,Tuesday,9
265,1032,Meal prep,Health,2025-03-13 12:41:00,34.1,Yes,Thursday,12
266,1036,Team sync prep,Work,2025-03-22 09:08:00,12.2,Yes,Saturday,9
267,1047,Code review,Work,2025-04-24 10:38:00,10.8,Yes,Thursday,10
268,1005,Stretching,Health,2025-03-17 12:22:00,36.4,Yes,Monday,12
269,1021,Practice problems,Study,2025-05-11 08:01:00,91.5,Yes,Sunday,8
270,1006,Call family,Personal,2025-01-08 07:15:00,14.5,Yes,Wednesday,7
271,1004,Pharmacy pickup,Errands,2025-05-16 09:15:00,34.5,No,Friday,9
272,1002,Sprint planning notes,Work,2025-06-04 17:37:00,2.6,Yes,Wednesday,17
273,1038,Team sync prep,Work,2025-02-02 07:09:00,1.6,Yes,Sunday,7
275,1002,Call family,Personal,2025-03-02 12:40:00,29.0,Yes,Sunday,12
276,1049,Flashcard review,Study,2025-04-05 11:35:00,32.7,No,Saturday,11
278,1000,Dishes,Chores,2025-03-03 11:16:00,12.7,Yes,Monday,11
279,1026,Walk,Health,2025-06-27 21:47:00,21.2,Yes,Friday,21
280,1044,Email cleanup,Work,2025-03-01 11:25:00,29.05,Yes,Saturday,11
281,1024,Sprint planning notes,Work,2025-06-24 21:26:00,29.05,Yes,Tuesday,21
282,1002,Team sync prep,Work,2025-06-10 16:38:00,42.4,Yes,Tuesday,16
284,1032,Sprint planning notes,Work,2025-06-04 13:08:00,71.3,No,Wednesday,13
285,1035,Read for fun,Personal,2025-04-06 20:42:00,18.9,Yes,Sunday,20
286,1042,Sprint planning notes,Work,2025-02-11 20:11:00,4.2,Yes,Tuesday,20
287,1017,Budget spreadsheet,Work,2025-03-27 11:55:00,25.2,Yes,Thursday,11
288,1030,Client report,Work,2025-03-28 13:39:00,9.9,No,Friday,13
289,1035,Pharmacy pickup,Errands,2025-07-29 15:46:00,44.7,Yes,Tuesday,15
290,1004,Online course module,Study,2025-01-10 13:43:00,11.1,Yes,Friday,13
291,1031,Essay draft,Study,2025-03-30 07:48:00,95.4,Yes,Sunday,7
292,1006,Post office,Errands,2025-05-31 11:43:00,39.2,Yes,Saturday,11
293,1037,Car wash,Errands,2025-05-29 06:34:00,54.6,Yes,Thursday,6
294,1021,Online course module,Study,2025-04-20 15:19:00,16.0,Yes,Sunday,15
295,1010,Email cleanup,Uncategorized,2025-01-28 08:29:00,33.7,Yes,Tuesday,8
296,1023,Read for fun,Personal,2025-06-16 08:25:00,11.4,Yes,Monday,8
297,1008,Client report,Work,2025-03-17 10:23:00,65.1,No,Monday,10
299,1040,Team sync prep,Work,2025-05-19 22:48:00,20.5,No,Monday,22
300,1010,Dishes,Chores,2025-04-20 12:58:00,22.6,Yes,Sunday,12
301,1021,Online course module,Study,2025-01-19 09:36:00,28.6,Yes,Sunday,9
302,1018,Budget spreadsheet,Work,2025-06-08 18:31:00,22.8,No,Sunday,18
303,1017,Walk,Health,2025-04-25 12:50:00,15.1,Yes,Friday,12
304,1006,Post office,Errands,2025-04-12 20:16:00,64.9,Yes,Saturday,20
305,1047,Flashcard review,Study,2025-06-02 21:45:00,30.5,Yes,Monday,21
306,1039,Vacuuming,Chores,2025-06-17 16:06:00,17.3,Yes,Tuesday,16
307,1023,Call family,Personal,2025-05-08 15:48:00,9.2,No,Thursday,15
308,1042,Vacuuming,Chores,2025-06-09 19:35:00,29.8,Yes,Monday,19
309,1008,Sprint planning notes,Work,2025-06-30 08:08:00,64.8,Yes,Monday,8
310,1032,Essay draft,Uncategorized,2025-04-21 11:54:00,51.7,Yes,Monday,11
311,1018,Flashcard review,Study,2025-01-10 15:23:00,21.0,Yes,Friday,15
312,1027,Meditation,Health,2025-04-14 11:28:00,28.4,Yes,Monday,11
313,1008,Online course module,Study,2025-01-19 12:44:00,62.7,Yes,Sunday,12
314,1019,Email cleanup,Work,2025-04-21 10:59:00,26.0,Yes,Monday,10
315,1024,Budget spreadsheet,Work,2025-05-18 17:47:00,29.05,Yes,Sunday,17
317,1034,Sprint planning notes,Work,2025-03-22 18:03:00,29.05,Yes,Saturday,18
318,1042,Budget review,Personal,2025-02-19 12:27:00,8.2,No,Wednesday,12
319,1035,Budget review,Personal,2025-02-24 21:17:00,14.7,Yes,Monday,21
320,1029,Client report,Work,2025-05-08 15:29:00,21.1,Yes,Thursday,15
321,1010,Sprint planning notes,Work,2025-02-15 14:57:00,80.8,Yes,Saturday,14
322,1033,Code review,Work,2025-05-23 18:31:00,25.2,Yes,Friday,18
323,1004,Practice problems,Study,2025-01-19 20:00:00,66.3,Yes,Sunday,20
324,1047,Workout,Health,2025-05-29 18:10:00,27.4,No,Thursday,18
325,1017,Read chapter,Study,2025-05-30 06:20:00,25.6,Yes,Friday,6
326,1031,Dishes,Chores,2025-03-15 21:09:00,11.1,Yes,Saturday,21
327,1007,Client report,Work,2025-06-12 21:07:00,25.7,Yes,Thursday,21
328,1004,Essay draft,Study,2025-03-27 14:15:00,16.3,Yes,Thursday,14
329,1044,Flashcard review,Study,2025-04-16 10:34:00,85.5,Yes,Wednesday,10
330,1012,Tidy desk,Chores,2025-05-30 18:13:00,35.0,Yes,Friday,18
331,1033,Post office,Errands,2025-04-22 15:06:00,15.0,Yes,Tuesday,15
332,1024,Laundry,Chores,2025-03-31 09:20:00,35.2,Yes,Monday,9
333,1009,Online course module,Study,2025-02-05 15:53:00,29.6,Yes,Wednesday,15
335,1003,Journaling,Personal,2025-03-18 17:21:00,29.0,Yes,Tuesday,17
336,1021,Laundry,Chores,2025-05-03 17:28:00,2.0,Yes,Saturday,17
337,1020,Walk,Health,2025-01-29 10:44:00,28.7,Yes,Wednesday,10
338,1007,Workout,Health,2025-07-22 08:50:00,29.6,Yes,Tuesday,8
339,1029,Team sync prep,Uncategorized,2025-02-07 13:33:00,59.4,Yes,Friday,13
