task_id,user_id,task_name,category,timestamp,duration_minutes,completed,duration_z,is_outlier
791,1002,Client report,Work,2025-01-23 10:27:00,342.0,Yes,16.299982625482624,True
862,1002,Practice problems,Study,2025-04-12 07:43:00,884.0,Yes,43.99181679389312,True
889,1049,Stretching,Health,2025-02-24 16:28:00,100.9,Yes,3.975711382113822,True
896,1042,Stretching,Health,2025-05-18 15:28:00,503.0,Yes,26.02582926829269,True
928,1005,Vacuuming,Chores,2025-01-31 20:43:00,133.5,Yes,5.380434615384615,True
959,1015,Laundry,Chores,2025-03-19 15:29:00,104.7,Yes,3.886157692307693,True
968,1012,Workout,Health,2025-07-27 11:10:00,671.0,No,35.238512195121956,True
979,1009,Client report,Work,2025-04-02 20:19:00,386.1,Yes,18.596928571428574,True
983,1019,Journaling,Personal,2025-01-17 18:54:00,105.4,Yes,4.330403361344539,True
986,1002,Flashcard review,Study,2025-03-06 20:01:00,119.4,Yes,4.623671755725191,True
991,1006,Practice problems,Study,2025-01-01 14:01:00,420.0,Yes,20.10112977099236,True
1009,1025,Client report,Work,2025-04-22 12:30:00,870.0,Yes,43.80083204633205,True
1057,1027,Tidy desk,Chores,2025-01-07 13:41:00,817.0,No,40.84356923076923,True
1130,1044,Practice problems,Study,2025-04-03 16:21:00,124.3,Yes,4.875965648854961,True
1173,1030,Walk,Health,2025-06-02 18:15:00,327.6,Yes,16.40734959349594,True
1241,1013,Email cleanup,Work,2025-06-20 17:14:00,101.5,Yes,3.7735540540540544,True
1245,1006,Budget spreadsheet,Work,2025-03-19 17:14:00,508.8,Yes,24.987750965250964,True
1248,1027,Journaling,Personal,2025-05-24 13:21:00,92.2,Yes,3.5822184873949583,True
1286,1027,Vacuuming,Chores,2025-06-29 11:31:00,102.5,Yes,3.7720115384615385,True
1293,1044,Essay draft,Study,2025-06-15 11:03:00,111.1,Yes,4.196316793893129,True
1347,1023,Budget spreadsheet,Work,2025-02-07 16:26:00,497.9,Yes,24.420025096525094,True
1522,1035,Practice problems,Study,2025-06-14 09:34:00,108.8,Yes,4.077893129770992,True
1542,1015,Sprint planning notes,Work,2025-01-30 15:11:00,785.0,Yes,39.37361196911197,True
1667,1038,Read chapter,Study,2025-02-06 11:24:00,100.3,No,3.640240458015266,True
1755,1027,Online course module,Uncategorized,2025-01-14 20:43:00,741.0,Yes,31.935326666666676,True
1779,1035,Tidy desk,Chores,2025-01-12 09:36:00,100.5,Yes,3.668242307692308,True
1787,1041,Laundry,Chores,2025-01-18 07:55:00,119.2,Yes,4.638484615384615,True
1801,1029,Read chapter,Study,2025-06-29 14:55:00,104.5,Yes,3.8564923664122137,True
1804,1022,Workout,Health,2025-06-03 17:22:00,511.0,Yes,26.46452845528456,True
1866,1005,Dishes,Chore,2025-01-12 13:37:00,310.4,Yes,15.074539682539683,True
1931,1031,Read for fun,Personal,2025-06-20 21:26:00,604.8000000000001,Yes,32.63673109243698,True
2017,1011,Practice problems,Study,2025-02-24 17:55:00,129.8,Yes,5.159152671755725,True
2053,1002,Sprint planning notes,Work,2025-07-02 19:11:00,507.0,Yes,24.89399806949807,True
2078,1002,Online course module,Study,2025-06-02 18:20:00,285.0,Yes,13.150175572519084,True
2108,1026,Practice problems,Study,2025-06-30 06:39:00,115.0,Yes,4.39712213740458,True
2115,1049,Practice problems,Study,2025-06-19 17:13:00,133.3,Yes,5.339362595419848,True
2152,1006,Code review,Work,2025-02-26 14:10:00,99.6,Yes,3.674592664092664,True
2256,1017,Client report,Work,2025-04-08 21:01:00,103.9,No,3.898557915057916,True
2355,1023,Budget spreadsheet,Work,2025-02-17 10:21:00,355.2,Yes,16.987503861003862,True
2371,1008,Code review,Work,2025-06-12 14:12:00,179.4,Yes,7.830971042471043,True
2439,1001,Code review,Work,2025-04-27 07:41:00,547.4,Yes,26.99822972972973,True
2492,1010,Practice problems,Study,2025-05-12 09:29:00,104.8,Yes,3.871938931297709,True
2516,1025,Budget review,Personal,2025-04-17 20:36:00,747.0,Yes,40.696722689075635,True
2568,1016,Code review,Work,2025-07-14 20:41:00,97.3,Yes,3.554797297297297,True
2602,1028,Email cleanup,Work,2025-02-03 12:49:00,112.4,Yes,4.341279922779924,True
2613,1038,Meditation,Health,2025-01-25 06:52:00,714.0,Yes,37.596520325203265,True
2625,1036,Vacuuming,Chores,2025-02-12 07:20:00,108.7,Yes,4.093696153846154,True
2636,1035,Budget spreadsheet,Uncategorized,2025-02-04 22:10:00,386.1,Yes,15.976656666666672,True
2672,1001,Client report,Work,2025-04-02 21:18:00,191.7,Yes,8.47161583011583,True
2684,1006,Workout,Health,2025-02-21 13:42:00,101.3,No,3.997646341463416,True
2706,1022,Budget review,Personal,2025-03-30 16:36:00,100.4,Yes,4.047000000000001,True
2718,1010,Budget spreadsheet,Work,2025-02-04 08:48:00,117.9,Yes,4.627747104247105,True
2768,1030,Practice problems,Study,2025-06-28 12:31:00,134.2,Yes,5.385702290076336,True
2814,1004,Call family,Personal,2025-07-06 08:20:00,229.2,Yes,11.347470588235295,True
2822,1048,Journaling,Personal,2025-04-30 18:44:00,102.0,Yes,4.137689075630253,True
2824,1009,Journaling,Personal,2025-03-04 07:59:00,225.0,Yes,11.109411764705884,True
2832,1014,Bank visit,Errands,2025-03-08 09:25:00,490.0,Yes,23.72896168582376,True
2869,1027,Essay draft,Study,2025-04-26 21:04:00,165.1,Yes,6.976698473282442,True
2942,1027,Meal prep,Health,2025-07-01 15:21:00,110.1,Yes,4.480215447154472,True
2971,1037,Practice problems,Study,2025-07-15 11:24:00,652.0,Yes,32.04647328244274,True
3016,1041,Workout,Health,2025-07-23 18:43:00,658.0,Yes,34.525626016260176,True
3031,1030,Online course module,Study,2025-01-05 22:01:00,110.4,Yes,4.160274809160305,True
3053,1003,Email cleanup,Work,2025-07-18 17:28:00,692.0,Yes,34.52971235521236,True
3059,1013,Essay draft,Uncategorized,2025-03-04 16:38:00,716.0,Yes,30.81116000000001,True
3092,1036,Budget spreadsheet,Work,2025-02-19 06:16:00,152.2,Yes,6.414260617760617,True
3147,1035,Client report,Work,2025-02-03 22:36:00,98.3,Yes,3.6068822393822395,True
3148,1035,Budget review,Uncategorized,2025-04-30 09:22:00,656.0,Yes,28.113160000000008,True
3156,1020,Bank visit,Errands,2025-07-11 10:41:00,111.9,Yes,4.186551724137931,True
3165,1021,Workout,Health,2025-03-01 07:55:00,134.6,Yes,5.823731707317074,True
3201,1001,Read chapter,Study,2025-04-13 13:43:00,115.2,Yes,4.407419847328243,True
3210,1022,Call family,Personal,2025-05-08 09:20:00,106.2,Yes,4.3757478991596646,True
3215,1026,Stretching,Health,2025-01-13 11:37:00,93.3,Yes,3.5589471544715456,True
3220,1041,Workout,Health,2025-04-14 06:14:00,522.0,Yes,27.06773983739838,True
3277,1016,Meal prep,Health,2025-06-18 20:08:00,93.7,Yes,3.5808821138211395,True
3296,1026,Stretching,Health,2025-02-28 19:55:00,868.0,Yes,46.04147967479676,True
3326,1026,Journaling,Personal,2025-02-08 07:35:00,96.6,Yes,3.831613445378151,True
3345,1023,Practice problems,Study,2025-05-23 13:16:00,819.0,Yes,40.64506106870228,True
3410,1040,Practice problems,Study,2025-03-13 21:50:00,112.8,Yes,4.283847328244274,True
3544,1022,Vacuuming,Chores,2025-02-08 09:06:00,99.4,Yes,3.611169230769231,True
3636,1036,Bank visit,Errands,2025-05-14 12:05:00,103.4,Yes,3.7472222222222222,True
3708,1038,Meditation,Health,2025-03-08 12:35:00,112.6,Yes,4.617308943089431,True
3730,1022,Read chapter,Study,2025-01-08 13:15:00,406.0,Yes,19.380290076335875,True
3741,1028,Bank visit,Errands,2025-03-03 18:00:00,713.0,No,35.254900383141766,True
3877,1039,Client report,Work,2025-04-05 21:05:00,106.1,Yes,4.013144787644788,True
3890,1006,Vacuuming,Chores,2025-07-04 07:13:00,98.9,Yes,3.5852269230769234,True
3934,1008,Laundry,Chores,2025-05-04 07:17:00,149.79999999999998,Yes,6.226153846153845,True
4010,1008,Practice problems,Study,2025-01-25 17:26:00,701.0,Yes,34.56941221374045,True
4011,1019,Read for fun,Personal,2025-07-12 18:21:00,100.3,Yes,4.041331932773109,True
4015,1020,Call family,Personal,2025-06-12 20:05:00,737.0,Yes,40.129915966386555,True
4033,1033,Essay draft,Study,2025-02-19 21:41:00,145.2,Yes,5.952076335877862,True
4059,1038,Bank visit,Errands,2025-07-01 11:27:00,839.0,Yes,41.767314176245215,True
4090,1047,Flashcard review,Study,2025-02-16 21:50:00,101.9,Yes,3.7226221374045805,True
4107,1041,Team sync prep,Work,2025-07-26 10:38:00,99.0,Yes,3.643341698841699,True
4121,1001,Grocery shopping,Chores,2025-01-17 18:56:00,126.5,Yes,5.017242307692308,True
4132,1033,Flashcard review,Study,2025-03-13 13:15:00,472.5,Yes,22.804278625954193,True
4166,1031,Dishes,Chores,2025-01-27 17:42:00,280.8,Yes,13.02303846153846,True
4201,1021,Sprint planning notes,Work,2025-04-09 10:15:00,97.5,Yes,3.565214285714286,True
4229,1009,Code review,Work,2025-06-23 18:43:00,104.3,Yes,3.919391891891892,True
4280,1029,Car wash,Errands,2025-03-08 14:17:00,113.3,Yes,4.258911877394636,True
4349,1007,Laundry,Chores,2025-04-21 13:35:00,117.4,Yes,4.545092307692308,True
4393,1027,Team sync prep,Work,2025-05-14 11:34:00,168.0,No,7.237202702702703,True
4408,1002,Journaling,Personal,2025-03-21 18:16:00,97.2,Yes,3.8656218487394964,True
4410,1021,Meal prep,Health,2025-03-02 14:45:00,102.9,Yes,4.08538617886179,True
4419,1041,Code review,Work,2025-03-12 06:55:00,96.7,Yes,3.5235463320463323,True
4550,1031,Walk,Health,2025-05-04 21:45:00,327.2,Yes,16.385414634146347,True
4572,1035,Sprint planning notes,Work,2025-06-06 16:36:00,181.2,Yes,7.924723938223938,True
4573,1025,Call family,Personal,2025-03-11 13:18:00,556.0,No,29.87071428571429,True
4647,1039,Stretching,Health,2025-03-23 08:15:00,146.1,Yes,6.454361788617886,True
4657,1027,Client report,Work,2025-05-25 22:45:00,114.6,Yes,4.455866795366795,True
4674,1035,Team sync prep,Work,2025-02-23 15:59:00,796.0,Yes,39.94654633204633,True
4718,1005,Pharmacy pickup,Errands,2025-07-28 10:56:00,742.0,No,36.75378927203066,True
4724,1030,Walk,Health,2025-07-28 08:34:00,99.1,No,3.8770040650406505,True
4737,1004,Email cleanup,Work,2025-07-11 18:49:00,110.6,Yes,4.247527027027027,True
4740,1020,Car wash,Errands,2025-04-01 11:23:00,736.0,Yes,36.44367432950192,True
4777,1015,Grocery shopping,Chores,2025-01-27 13:57:00,102.2,Yes,3.756446153846154,True
4779,1020,Budget review,Personal,2025-03-21 20:50:00,887.6,Yes,48.666025210084044,True
4815,1020,Meditation,Health,2025-05-10 21:24:00,97.3,Yes,3.7782967479674805,True
4823,1016,Code review,Work,2025-05-15 10:55:00,105.1,Yes,3.9610598455598454,True
4863,1004,Practice problems,Study,2025-01-02 22:53:00,360.1,Yes,17.01696564885496,True
4928,1000,Meditation,Health,2025-05-01 09:25:00,114.0,Yes,4.694081300813009,True
4929,1049,Team sync prep,Work,2025-03-22 18:48:00,548.0,Yes,27.0294806949807,True
4995,1033,Practice problems,Study,2025-03-31 07:07:00,117.9,Yes,4.546438931297709,True
4996,1004,Bank visit,Errands,2025-04-02 15:27:00,116.7,Yes,4.43464367816092,True
5030,1034,Walk,Health,2025-03-06 20:01:00,100.0,No,3.9263577235772362,True
5037,1044,Budget spreadsheet,Work,2025-06-28 21:58:00,108.5,No,4.138148648648649,True
5054,1030,Call family,Personal,2025-06-24 21:15:00,659.0,Yes,35.70882352941177,True
5130,1048,Practice problems,Study,2025-01-19 14:25:00,139.3,Yes,5.648293893129772,True
5132,1002,Pharmacy pickup,Errands,2025-07-04 10:51:00,103.7,Yes,3.76272796934866,True
5144,1033,Email cleanup,Work,2025-06-01 17:15:00,689.0,No,34.37345752895753,True
5177,1007,Sprint planning notes,Work,2025-01-25 12:39:00,103.3,Yes,3.86730694980695,True
5243,1014,Team sync prep,Work,2025-01-02 11:30:00,663.0,Yes,33.01924903474904,True
5246,1044,Call family,Personal,2025-02-26 08:58:00,273.0,Yes,13.830084033613447,True
5251,1013,Tidy desk,Chores,2025-04-22 17:15:00,490.0,No,23.877299999999998,True
5259,1009,Bank visit,Errands,2025-02-07 10:16:00,858.0,Yes,42.749344827586214,True
